INPUT_TABLE
Variable ID
IndiaWaterPrice

region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
India,water_td_ind_W,GangesR,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,GodavariR,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,IndCstE,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,IndCstNE,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,IndCstS,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,IndCstW,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,IndusR,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,IrrawaddyR,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,KrishnaR,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,MahanadiR,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,MahiR,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,NarmadaR,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,PennarR,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,SabarmatiR,water withdrawals,2100,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2020,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2025,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2030,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2035,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2040,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2045,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2050,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2055,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2060,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2065,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2070,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2075,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2080,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2085,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2090,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2095,tax,-0.09943194
India,water_td_ind_W,TaptiR,water withdrawals,2100,tax,-0.09943194
